YEAR,MAKE,MODEL,COLOR,INTERIOR,BODY,TOTAL_REVENUE,UNITS_SOLD,MONTH_SALE,AVG_PRICE,AVG_MILEAGE,MARKET_POSITION
2013,Mercedes-Benz,E-Class,gray,black,Sedan,576051,19,Jan,30318.47,23445,Below Market
2013,Dodge,Grand Caravan,white,black,Minivan,575800,45,Feb,12795.56,57275,Above Market
2011,Nissan,Maxima,white,black,Sedan,575000,32,Feb,17968.75,38437,Above Market
2012,Honda,Odyssey,gray,gray,minivan,574700,27,Jun,21285.19,37759,Above Market
2012,Ford,Fusion,black,black,Sedan,574550,54,Feb,10639.81,46915,Below Market
2013,Nissan,Altima,—,black,Sedan,574300,43,Jan,13355.81,25097,Below Market
2013,Ford,Explorer,white,black,suv,574200,21,Jun,27342.86,33898,Above Market
2012,Toyota,Camry,silver,gray,Sedan,574150,39,Feb,14721.79,31205,Above Market
2012,Nissan,Altima,black,black,Sedan,574150,54,Dec,10632.41,42549,Below Market
2012,Nissan,Altima,silver,black,sedan,573600,44,Jun,13036.36,33286,Above Market
2012,Mercedes-Benz,S-Class,black,black,Sedan,573500,14,Jan,40964.29,39568,Below Market
2013,Ford,Fusion,—,black,Sedan,572600,34,Jan,16841.18,26786,Above Market
2012,Toyota,Camry,black,black,Sedan,571650,40,Feb,14291.25,34289,Below Market
2012,Nissan,Rogue,gray,black,suv,571600,43,Jun,13293.02,34075,Below Market
2012,Infiniti,M,black,black,Sedan,571100,22,Jan,25959.09,46052,Above Market
2014,Toyota,Camry,silver,gray,Sedan,570400,36,Jan,15844.44,16442,Above Market
2011,Mercedes-Benz,M-Class,black,gray,SUV,570300,23,Jan,24795.65,42565,Below Market
2013,Infiniti,G Coupe,white,black,G Coupe,570300,22,Feb,25922.73,19466,Above Market
2013,Chrysler,200,black,black,Sedan,569950,48,Feb,11873.96,38913,Above Market
2012,Chevrolet,Equinox,black,black,SUV,569150,40,Feb,14228.75,53474,Above Market
2014,Dodge,Grand Caravan,white,black,minivan,568700,32,Jun,17771.88,28675,Above Market
2014,Chevrolet,Silverado 1500,white,black,Crew Cab,568300,19,Jan,29910.53,15770,Above Market
2013,Nissan,Altima,white,beige,Sedan,568100,36,Feb,15780.56,26541,Above Market
2013,Ford,Explorer,gray,black,SUV,567601,21,Feb,27028.62,37007,Above Market
2014,BMW,3 Series,white,black,Sedan,566800,16,Jan,35425,6722,Above Market
2014,BMW,3 Series,—,black,Sedan,566000,15,Jan,37733.33,4225,Above Market
2013,Hyundai,Elantra,silver,gray,Sedan,566000,47,Jan,12042.55,34890,Above Market
2014,Dodge,Charger,black,black,Sedan,565700,28,Jan,20203.57,21018,Above Market
2012,Nissan,Maxima,white,black,Sedan,565600,37,Jan,15286.49,40425,Below Market
2014,Dodge,Charger,black,black,Sedan,565300,33,Jan,17130.3,23633,Below Market
2012,Honda,Civic,silver,gray,Sedan,564600,46,Feb,12273.91,32108,Above Market
2012,Jeep,Grand Cherokee,gray,black,SUV,564501,25,Feb,22580.04,53800,Below Market
2012,Honda,Accord,gray,gray,Sedan,564500,46,Feb,12271.74,33503,Below Market
2013,Hyundai,Sonata,silver,gray,Sedan,564000,48,Feb,11750,39670,Below Market
2013,Ford,Escape,—,black,SUV,563150,37,Jan,15220.27,43498,Below Market
2012,Toyota,Camry,gray,gray,Sedan,563101,44,Feb,12797.75,39586,Below Market
2014,Ford,Explorer,—,black,SUV,562200,18,Feb,31233.33,24647,Above Market
2014,Ford,F-150,white,gray,Regular Cab,560250,33,Jun,16977.27,9865,Below Market
2014,Ford,Mustang,—,black,Coupe,559800,27,Feb,20733.33,26473,Below Market
2014,Chrysler,Town and Country,silver,black,Minivan,559450,25,Jan,22378,24654,Above Market
2011,Nissan,Maxima,silver,black,Sedan,558800,32,Jan,17462.5,38161,Above Market
2012,Ford,Fusion,blue,black,Sedan,558700,47,Feb,11887.23,48458,Above Market
2012,Ford,Fusion,silver,black,Sedan,557701,57,Jan,9784.23,54942,Below Market
2012,Nissan,Altima,—,black,Sedan,557650,43,Feb,12968.6,38077,Above Market
2013,Ford,Edge,black,black,SUV,556351,28,May,19869.68,31445,Below Market
2013,Mercedes-Benz,C-Class,black,black,sedan,556350,24,Jun,23181.25,26089,Above Market
2013,Ford,F-150,white,gray,supercrew,554000,21,Jun,26380.95,39258,Above Market
2012,Nissan,Altima,white,beige,sedan,553700,42,Jun,13183.33,33627,Above Market
2014,Chrysler,300,black,black,Sedan,553000,24,Feb,23041.67,21334,Below Market
2012,Infiniti,G Sedan,black,black,G Sedan,552850,28,Mar,19744.64,32583,Above Market
2014,Toyota,Camry,silver,black,Sedan,552400,34,Dec,16247.06,13707,Below Market
2014,Ford,Fusion,black,black,Sedan,552200,35,Jan,15777.14,21202,Below Market
2013,Ford,Escape,white,gray,SUV,551100,33,Feb,16700,40000,Above Market
2012,Hyundai,Sonata,black,gray,Sedan,550900,48,Jan,11477.08,40757,Below Market
2013,Ford,Fusion,red,black,Sedan,550600,33,Feb,16684.85,24888,Above Market
2013,Ford,F-150,black,gray,SuperCrew,550550,22,Feb,25025,36193,Below Market
2012,BMW,5 Series,white,black,Sedan,550450,16,Feb,34403.13,32525,Above Market
2012,Mercedes-Benz,E-Class,black,black,Sedan,550201,20,Feb,27510.05,29729,Below Market
2012,Ford,Fusion,black,black,Sedan,549700,53,Jan,10371.7,45164,Below Market
2012,Nissan,Altima,white,gray,Sedan,549350,52,Feb,10564.42,41424,Below Market
2014,Chevrolet,Silverado 1500,white,black,Crew Cab,549000,20,Jan,27450,14442,Below Market
2011,Ford,F-150,black,black,SuperCrew,548500,21,Jan,26119.05,55426,Below Market
2013,Ford,Edge,gray,black,SUV,548050,27,Feb,20298.15,31827,Below Market
2013,Dodge,Grand Caravan,blue,black,Minivan,548050,47,Feb,11660.64,54958,Below Market
2014,Ford,F-150,white,gray,SuperCrew,547400,21,Jan,26066.67,20331,Above Market
2012,Mercedes-Benz,C-Class,—,black,Sedan,546950,27,Jan,20257.41,32591,Below Market
2012,Nissan,Altima,gray,gray,Sedan,546600,51,Jan,10717.65,37753,Below Market
2013,Infiniti,G Coupe,black,black,G Coupe,546250,21,Jan,26011.9,20286,Above Market
2013,Ford,Focus,black,black,Sedan,545901,48,Feb,11372.94,32756,Above Market
2013,Hyundai,Elantra,black,gray,sedan,545850,46,Jun,11866.3,25419,Above Market
2015,Chevrolet,Tahoe,black,black,SUV,545650,11,Feb,49604.55,18330,Above Market
2011,Infiniti,G Sedan,white,gray,G Sedan,544650,28,Feb,19451.79,38381,Above Market
2014,Ford,Edge,—,black,SUV,543500,22,Jan,24704.55,22201,Below Market
2013,Chevrolet,Equinox,black,black,SUV,542400,38,Jan,14273.68,53294,Below Market
2012,Hyundai,Sonata,silver,gray,Sedan,541500,40,Jan,13537.5,31537,Above Market
2013,Infiniti,G Sedan,black,black,G Sedan,541200,22,Dec,24600,22357,Above Market
2012,Lexus,RX 350,black,black,SUV,540700,20,Feb,27035,33807,Below Market
2013,Ford,Escape,black,black,suv,540500,30,Jun,18016.67,40637,Above Market
2011,Ford,F-150,white,gray,supercrew,540200,28,Jun,19292.86,92359,Below Market
2012,Nissan,Altima,white,gray,Sedan,540150,42,Feb,12860.71,33116,Above Market
2014,Chrysler,Town and Country,gray,black,minivan,539900,27,Jun,19996.3,27837,Above Market
2013,Ford,Explorer,silver,black,SUV,539451,20,Feb,26972.55,39670,Above Market
2013,Lexus,RX 350,black,black,SUV,539450,17,Feb,31732.35,23559,Below Market
2012,Mercedes-Benz,C-Class,—,black,Sedan,538900,26,Feb,20726.92,29879,Below Market
2013,Toyota,Sienna,gray,gray,Minivan,538751,27,Feb,19953.74,48521,Above Market
2012,Acura,TSX,black,black,Sedan,538300,30,Feb,17943.33,32677,Above Market
2014,Ford,Explorer,black,black,SUV,538250,17,Feb,31661.76,23369,Above Market
2014,Infiniti,QX80,white,black,SUV,537600,9,Feb,59733.33,15521,Above Market
2011,Nissan,Rogue,gray,black,SUV,537550,42,Jan,12798.81,39406,Below Market
2012,Honda,Civic,blue,gray,Sedan,537401,45,Feb,11942.24,32682,Above Market
2012,Infiniti,G Coupe,gray,black,g coupe,536400,23,Jun,23321.74,27870,Above Market
2011,Nissan,Maxima,silver,black,Sedan,536350,31,Feb,17301.61,38786,Above Market
2014,Toyota,Camry,silver,gray,Sedan,536150,35,Jan,15318.57,18281,Below Market
2014,GMC,Savana Cargo,white,gray,Van,535950,26,Mar,20613.46,9402,Below Market
2012,Honda,Accord,silver,black,sedan,535800,40,Jun,13395,31390,Above Market
2014,Dodge,Grand Caravan,silver,black,Minivan,534550,31,Feb,17243.55,29511,Above Market
2012,BMW,5 Series,white,black,Sedan,534000,16,Jan,33375,36997,Above Market
2013,Ford,Explorer,black,black,SUV,533850,21,May,25421.43,28974,Below Market
2014,Ford,F-150,—,gray,SuperCrew,533500,23,Jan,23195.65,22580,Below Market
2011,Infiniti,G Coupe,black,black,G Coupe,533350,28,Feb,19048.21,36515,Below Market
2014,Infiniti,Q50,gray,black,Sedan,533350,17,Jan,31373.53,14223,Above Market
2014,Chrysler,300,black,black,Sedan,533200,23,Feb,23182.61,22599,Above Market
2014,Chevrolet,Cruze,red,black,Sedan,533100,44,Feb,12115.91,27942,Below Market
2012,Lexus,RX 350,black,black,SUV,532900,20,Jan,26645,39262,Below Market
2013,Lexus,GS 350,black,black,Sedan,532750,17,Feb,31338.24,26338,Below Market
2012,Ford,F-150,black,black,SuperCrew,532750,19,Jan,28039.47,46031,Below Market
2013,Infiniti,G Sedan,gray,black,G Sedan,532451,22,Dec,24202.32,23181,Above Market
2013,Mercedes-Benz,E-Class,black,black,Sedan,532250,17,Dec,31308.82,19478,Below Market
2013,Ford,Escape,black,gray,SUV,531901,37,Feb,14375.7,45226,Below Market
2013,Chevrolet,Equinox,black,black,SUV,531850,30,Feb,17728.33,45459,Above Market
2012,Nissan,Altima,blue,black,sedan,531850,50,Jun,10637,36825,Below Market
2014,Dodge,Charger,white,black,Sedan,530550,27,Jan,19650,22147,Above Market
2013,Hyundai,Sonata,gray,gray,Sedan,530200,40,Feb,13255,38227,Above Market
2014,Chevrolet,Cruze,silver,black,Sedan,529100,44,Jan,12025,25534,Below Market
2011,Land Rover,Range Rover Sport,black,black,SUV,528900,16,Feb,33056.25,56435,Below Market
2014,Ford,Expedition,—,tan,SUV,528500,17,Feb,31088.24,22139,Below Market
2012,Mercedes-Benz,E-Class,black,black,Sedan,528350,20,Jan,26417.5,31729,Below Market
2014,Ford,Escape,—,gray,SUV,528200,29,Feb,18213.79,26805,Below Market
2013,Mercedes-Benz,E-Class,silver,black,Sedan,528051,18,Jan,29336.17,22792,Below Market
2015,BMW,3 Series,black,black,sedan,527250,14,Jun,37660.71,7080,Above Market
2012,Nissan,Altima,gray,black,Sedan,526000,47,Mar,11191.49,42164,Below Market
2013,Chevrolet,Cruze,white,black,Sedan,525801,47,Feb,11187.26,46474,Above Market
2012,Nissan,Maxima,silver,black,sedan,525600,29,Jun,18124.14,37208,Above Market
2013,Nissan,Altima,black,black,Sedan,525501,41,Mar,12817.1,33741,Below Market
2014,Ford,Escape,—,black,SUV,525400,27,Feb,19459.26,30182,Below Market
2014,Chevrolet,Silverado 1500,silver,black,Crew Cab,525350,18,Feb,29186.11,18352,Above Market
2014,Ford,Escape,—,black,SUV,525200,25,Jan,21008,28870,Above Market
2013,Hyundai,Sonata,blue,gray,Sedan,525100,43,Jan,12211.63,36254,Below Market
2014,Ford,Fusion,silver,black,Sedan,523700,31,Jan,16893.55,25198,Above Market
2012,Nissan,Rogue,black,black,SUV,523400,35,Feb,14954.29,41023,Above Market
2012,Nissan,Altima,white,beige,Sedan,522300,47,Feb,11112.77,37171,Below Market
2014,Ford,F-150,red,gray,SuperCrew,522150,21,Jan,24864.29,15979,Below Market
2011,Nissan,Rogue,gray,black,SUV,521950,34,Jan,15351.47,41412,Above Market
2013,Ford,Explorer,gray,black,SUV,521700,19,Jan,27457.89,33469,Above Market
2012,Acura,TL,black,black,Sedan,521600,28,Feb,18628.57,36482,Below Market
2012,Ford,F-150,black,black,supercrew,521450,18,Jun,28969.44,52793,Below Market
2014,Ram,2500,white,gray,Crew Cab,521300,17,Jan,30664.71,18727,Below Market
2012,Nissan,Sentra,white,gray,sedan,520900,49,Jun,10630.61,33512,Above Market
2011,Ford,F-150,black,gray,SuperCrew,520200,24,Jan,21675,51961,Below Market
2012,Honda,Accord,white,beige,Sedan,519950,36,Feb,14443.06,33694,Above Market
2014,Chrysler,300,white,black,Sedan,519850,21,May,24754.76,20070,Above Market
2013,Hyundai,Sonata,gray,gray,Sedan,519100,39,Jan,13310.26,35411,Above Market
2011,Infiniti,G Coupe,gray,black,G Coupe,518450,26,Jan,19940.38,35285,Below Market
2013,Ford,F-150,black,black,supercrew,518200,17,Jun,30482.35,42121,Below Market
2013,Ford,Escape,black,gray,SUV,518000,31,Jan,16709.68,33590,Above Market
2013,Ford,F-150,black,black,SuperCrew,517600,15,Feb,34506.67,36615,Below Market
2012,Nissan,Altima,white,black,sedan,517100,49,Jun,10553.06,41422,Below Market
2014,Dodge,Journey,white,black,SUV,516850,31,Jan,16672.58,20503,Below Market
2014,Nissan,Altima,gray,black,Sedan,516450,31,Feb,16659.68,22620,Above Market
2013,Toyota,Sienna,white,gray,Minivan,515900,27,Feb,19107.41,50254,Above Market
2014,Ford,E-Series Wagon,white,gray,Van,515300,25,Dec,20612,18044,Below Market
2014,Chrysler,300,white,black,Sedan,514650,22,Jan,23393.18,20296,Above Market
2013,Ford,Explorer,white,black,SUV,514401,22,Feb,23381.86,46379,Below Market
2013,Hyundai,Elantra,gray,gray,Sedan,514251,42,Jan,12244.07,29173,Above Market
2012,Nissan,Rogue,gray,black,SUV,514200,37,Jan,13897.3,35314,Below Market
2012,Ford,Escape,blue,black,SUV,514200,35,Feb,14691.43,44764,Below Market
2014,Dodge,Charger,white,black,Sedan,514100,30,Feb,17136.67,19404,Below Market
2012,Nissan,Rogue,gray,black,SUV,513700,31,Jan,16570.97,35349,Above Market
2013,Ford,E-Series Van,white,gray,E-Series Van,513150,26,Feb,19736.54,26010,Above Market
2014,Dodge,Journey,white,black,SUV,513100,32,Feb,16034.38,21174,Below Market
2012,Honda,Accord,gray,black,sedan,512900,38,Jun,13497.37,30446,Above Market
2012,Ford,Fusion,white,gray,sedan,512900,48,Jun,10685.42,50805,Above Market
2013,Ford,Fusion,black,black,sedan,511701,41,Jun,12480.51,37566,Below Market
2014,Ford,Mustang,black,black,Coupe,511700,28,Feb,18275,28365,Below Market
2014,Infiniti,Q50,white,black,Sedan,511500,17,Feb,30088.24,15467,Above Market
2011,BMW,5 Series,gray,black,Sedan,511300,20,Jan,25565,55489,Below Market
2013,Ford,Fusion,red,black,Sedan,511200,35,Jan,14605.71,26240,Below Market
2014,BMW,,black,black,Sedan,511000,7,Jan,73000,2839,Above Market
2014,Jeep,Wrangler,black,black,suv,510950,15,Jun,34063.33,14068,Above Market
2013,Infiniti,G Sedan,white,gray,g sedan,510950,23,Jun,22215.22,23003,Above Market
2014,Toyota,Camry,silver,black,Sedan,510600,30,Jan,17020,17757,Above Market
2012,Honda,Accord,white,beige,Sedan,510550,40,Jan,12763.75,34176,Below Market
2013,Infiniti,G Sedan,gray,gray,G Sedan,509250,25,Feb,20370,20956,Below Market
2011,Land Rover,Range Rover Sport,black,black,SUV,509100,15,Jan,33940,48622,Below Market
2012,Infiniti,G Sedan,blue,black,g sedan,508450,29,Jun,17532.76,35440,Below Market
2012,Ford,Escape,black,black,suv,508100,35,Jun,14517.14,38362,Below Market
2013,Ford,F-150,black,gray,SuperCrew,507850,19,Feb,26728.95,34090,Above Market
2013,Ford,E-Series Wagon,white,gray,Van,506600,27,Jan,18762.96,34964,Below Market
2013,Ford,Focus,silver,black,Sedan,506500,45,Feb,11255.56,36504,Above Market
2014,Kia,Optima,gray,gray,Sedan,506400,35,Jan,14468.57,20102,Below Market
2014,Ford,E-Series Wagon,white,gray,van,506200,23,Jun,22008.7,30744,Above Market
2014,Dodge,Charger,gray,black,Sedan,505200,28,Jun,18042.86,21378,Below Market
2011,Ford,F-150,white,black,SuperCrew,504950,18,Feb,28052.78,55772,Above Market
2013,Chevrolet,Equinox,silver,black,SUV,504700,31,Jan,16280.65,48698,Above Market
2014,Jeep,Grand Cherokee,black,black,SUV,504100,15,Jan,33606.67,17341,Above Market
2012,Toyota,Camry,black,gray,Sedan,504000,38,Feb,13263.16,40172,Below Market
2013,Nissan,Altima,gray,black,Sedan,503950,35,Jan,14398.57,32817,Above Market
2014,Chrysler,300,gray,black,Sedan,503400,26,Jan,19361.54,18808,Below Market
2013,Toyota,Camry,black,gray,Sedan,502700,38,Feb,13228.95,42462,Below Market
2012,Nissan,Maxima,silver,black,Sedan,502200,32,Feb,15693.75,41603,Below Market
2013,Ford,F-150,black,black,supercrew,502100,15,Jun,33473.33,46624,Above Market
2015,Kia,Sorento,silver,black,SUV,501800,25,Feb,20072,11565,Below Market
2011,Mercedes-Benz,M-Class,black,gray,SUV,501800,21,Feb,23895.24,46995,Below Market
2014,Jeep,Grand Cherokee,gray,black,SUV,501450,18,Jan,27858.33,19750,Below Market
2014,Dodge,Charger,white,black,Sedan,501300,31,Jan,16170.97,20559,Below Market
2012,Acura,TL,black,black,Sedan,501150,27,Jan,18561.11,38733,Below Market
2015,Kia,Sorento,white,black,SUV,501100,24,Feb,20879.17,12779,Above Market
2014,Jeep,Grand Cherokee,gray,black,SUV,501100,14,Jan,35792.86,22096,Above Market
2013,Ford,Escape,gray,gray,SUV,500750,31,Feb,16153.23,41946,Above Market
2012,Volkswagen,Jetta,gray,black,Sedan,500200,55,Jan,9094.55,37428,Below Market
2013,Infiniti,G Coupe,black,black,g coupe,500100,22,Jun,22731.82,21131,Below Market
2011,Infiniti,G Sedan,gray,black,G Sedan,500050,28,Dec,17858.93,35736,Below Market
2014,Kia,Optima,silver,gray,Sedan,499450,35,Jan,14270,21465,Below Market
2012,Chevrolet,Malibu,silver,gray,Sedan,499050,57,Jan,8755.26,58028,Below Market
2012,Ford,Fusion,gray,black,Sedan,498800,41,Jan,12165.85,45892,Above Market
2013,Ford,Explorer,black,black,SUV,497900,17,Mar,29288.24,40808,Above Market
2013,Ford,Edge,—,black,SUV,497801,22,Jan,22627.32,29619,Above Market
2015,Chevrolet,Silverado 2500HD,white,gray,Crew Cab,497500,13,Feb,38269.23,14695,Above Market
2014,Chevrolet,Cruze,blue,black,Sedan,497400,40,Feb,12435,28814,Below Market
2013,Chevrolet,Malibu,silver,black,Sedan,497300,37,Feb,13440.54,44607,Above Market
2014,Chrysler,Town and Country,red,black,Minivan,497200,28,Jan,17757.14,27634,Below Market
2011,Nissan,Rogue,white,gray,SUV,497100,32,Jan,15534.38,38377,Above Market
2014,GMC,Savana Cargo,white,gray,Van,496900,23,Mar,21604.35,9698,Above Market
2011,BMW,3 Series,gray,black,Sedan,496750,24,Feb,20697.92,33937,Above Market
2014,Ford,Expedition,black,tan,SUV,496050,15,Feb,33070,30700,Above Market
2014,Dodge,Charger,white,black,Sedan,495950,26,May,19075,20736,Above Market
2012,Nissan,Rogue,white,gray,suv,495900,32,Jun,15496.88,35740,Above Market
2013,Chevrolet,Equinox,white,black,SUV,495550,32,May,15485.94,55198,Below Market
2012,Lexus,RX 350,black,beige,SUV,495400,18,Jan,27522.22,31838,Below Market
2011,Ford,F-150,gray,black,SuperCrew,494300,18,Feb,27461.11,54625,Above Market
2012,Honda,Odyssey,black,gray,Minivan,493500,26,Feb,18980.77,38818,Below Market
2014,Dodge,Charger,white,black,sedan,493200,27,Jun,18266.67,24009,Above Market
2014,Jeep,Grand Cherokee,white,black,SUV,492700,15,Feb,32846.67,25086,Below Market
2013,Ford,Explorer,white,gray,SUV,492700,21,Jan,23461.9,43160,Above Market
2012,Nissan,Maxima,white,black,Sedan,492100,26,Mar,18926.92,36691,Above Market
2011,Infiniti,G Sedan,blue,black,G Sedan,491850,29,Jan,16960.34,36829,Below Market
2013,Ford,F-150,red,black,supercrew,490900,14,Jun,35064.29,32778,Above Market
2012,Nissan,Rogue,white,black,suv,490700,37,Jun,13262.16,35109,Below Market
2013,Ford,Escape,gray,gray,SUV,490200,29,Jan,16903.45,31722,Above Market
2013,Infiniti,G Sedan,blue,black,G Sedan,490150,24,Feb,20422.92,23713,Below Market
2013,Hyundai,Elantra,silver,gray,Sedan,490000,45,Jan,10888.89,36169,Below Market
2013,Nissan,Altima,white,black,Sedan,489800,41,Mar,11946.34,43736,Below Market
2013,Mercedes-Benz,E-Class,black,black,sedan,489450,18,Jun,27191.67,28670,Below Market
2014,Ford,F-150,white,gray,Regular Cab,489300,28,Mar,17475,9792,Below Market
2014,Infiniti,Q50,gray,black,Sedan,489000,16,Feb,30562.5,12564,Above Market
2012,Chevrolet,Malibu,white,gray,Sedan,488650,46,Feb,10622.83,51274,Above Market
2012,Jeep,Wrangler,black,black,SUV,488250,18,Feb,27125,36574,Above Market
2013,Ford,Focus,red,black,Sedan,488000,43,Feb,11348.84,34230,Above Market
2012,,,gray,black,,487950,14,Jun,34853.57,40558,Below Market
2012,Infiniti,G Coupe,black,black,G Coupe,487600,22,Feb,22163.64,34620,Above Market
2014,Chrysler,Town and Country,white,black,Minivan,487600,26,Mar,18753.85,20480,Below Market
2013,Chrysler,Town and Country,black,black,minivan,487550,27,Jun,18057.41,28896,Below Market
2014,Ford,Fusion,silver,black,Sedan,487450,29,Feb,16808.62,28534,Above Market
2014,Dodge,Avenger,black,black,Sedan,486700,37,Feb,13154.05,17153,Above Market
2014,Dodge,Charger,gray,black,Sedan,485700,30,Jan,16190,19374,Below Market
2012,Nissan,Altima,black,beige,Sedan,485650,35,Feb,13875.71,35830,Above Market
2012,,,white,black,,485251,39,Feb,12442.33,60842,Below Market
2012,Ford,Escape,blue,black,SUV,485100,31,Jan,15648.39,40137,Above Market
2013,Ford,Focus,gray,black,Sedan,484900,42,Feb,11545.24,30850,Above Market
2014,Ford,Focus,—,black,Hatchback,484800,36,Feb,13466.67,19768,Above Market
2011,Ford,F-150,red,gray,SuperCrew,484600,20,Jan,24230,45597,Above Market
2012,Nissan,Rogue,gray,black,SUV,484300,32,May,15134.38,34479,Above Market
2012,Volkswagen,Jetta,—,black,Sedan,483650,54,Jan,8956.48,33203,Below Market
2014,Ford,Explorer,silver,black,SUV,482900,17,Feb,28405.88,31404,Below Market
2014,BMW,3 Series,black,black,Sedan,482650,13,Feb,37126.92,7335,Above Market
2012,Mercedes-Benz,C-Class,black,black,Sedan,482450,25,May,19298,30556,Below Market
2013,Ford,F-150,white,gray,supercrew,482100,21,Jun,22957.14,46975,Below Market
2013,Nissan,Maxima,white,black,Sedan,481801,34,Feb,14170.62,53381,Below Market
2014,Ford,F-150,red,gray,SuperCrew,481700,18,Feb,26761.11,22313,Above Market
2013,Infiniti,G Sedan,black,black,G Sedan,481500,24,May,20062.5,23145,Below Market
2014,Dodge,Charger,black,black,Sedan,481100,25,Feb,19244,21383,Below Market
2014,Ford,Mustang,white,black,Convertible,480800,22,Feb,21854.55,31663,Above Market
2013,Ford,Fusion,red,black,Sedan,480700,27,Jan,17803.7,26355,Above Market
2014,Subaru,Legacy,blue,black,Sedan,480500,26,Jan,18480.77,18165,Below Market
2014,Chevrolet,Silverado 2500HD,white,black,Crew Cab,480500,14,Jan,34321.43,29869,Below Market
2013,Ford,Focus,gray,black,Sedan,480150,48,Feb,10003.13,31382,Below Market
2014,Dodge,Journey,black,black,SUV,479300,27,Feb,17751.85,22503,Above Market
2012,Nissan,Altima,black,black,Sedan,478900,37,Dec,12943.24,39755,Above Market
2013,Infiniti,G Sedan,white,black,g sedan,478250,24,Jun,19927.08,23733,Below Market
2012,BMW,X5,black,black,suv,478150,16,Jun,29884.38,49050,Below Market
2014,Chevrolet,Express Cargo,white,gray,Van,477650,25,Jan,19106,27924,Below Market
2014,Ford,Explorer,gray,black,SUV,477600,18,Mar,26533.33,36066,Below Market
2012,Nissan,Altima,silver,black,Sedan,477200,35,Mar,13634.29,36158,Above Market
2013,Chevrolet,Cruze,white,black,sedan,477051,45,Jun,10601.13,50326,Above Market
2012,Chevrolet,Malibu,silver,gray,Sedan,477000,53,Feb,9000,56253,Below Market
2014,Ram,2500,white,gray,Crew Cab,476600,14,Jan,34042.86,19648,Above Market
2012,Toyota,Camry,gray,black,sedan,476150,33,Jun,14428.79,34839,Above Market
2014,Chrysler,300,white,black,Sedan,475900,22,May,21631.82,21074,Below Market
2013,Ford,Explorer,silver,black,SUV,475600,21,Jan,22647.62,51618,Below Market
2013,Infiniti,G Sedan,silver,black,G Sedan,475350,23,Jan,20667.39,26400,Below Market
2012,Nissan,Maxima,black,black,Sedan,475350,31,May,15333.87,33350,Below Market
2014,Ford,F-150,white,gray,SuperCrew,475250,18,Feb,26402.78,19805,Above Market
2013,Hyundai,Sonata,silver,gray,sedan,475100,36,Jun,13197.22,31859,Above Market
2013,Ford,Edge,white,black,SUV,474900,21,Feb,22614.29,24353,Below Market
2012,Nissan,Altima,white,beige,Sedan,474850,42,Jan,11305.95,34300,Below Market
2014,Ford,Fusion,red,black,Sedan,474600,30,Feb,15820,32036,Above Market
2012,BMW,X5,gray,black,suv,474525,14,Jun,33894.64,36015,Above Market
2014,Dodge,Grand Caravan,gray,black,minivan,474400,26,Jun,18246.15,26550,Above Market
2013,Chevrolet,Equinox,white,black,suv,473401,32,Jun,14793.78,55083,Below Market
2013,Chevrolet,Cruze,silver,black,sedan,473301,45,Jun,10517.8,50550,Above Market
2012,Cadillac,SRX,black,black,SUV,472700,20,Jan,23635,37091,Above Market
2014,Ford,Fusion,white,black,Sedan,472580,30,Jan,15752.67,25808,Below Market
2013,Nissan,Altima,black,black,Sedan,472400,31,Mar,15238.71,33183,Above Market
2012,Acura,TSX,black,black,Sedan,472200,26,Jan,18161.54,31341,Above Market
2012,Nissan,Altima,gray,gray,Sedan,472050,43,Feb,10977.91,38604,Below Market
2014,Dodge,Durango,black,black,SUV,472000,14,Feb,33714.29,19211,Above Market
2013,Ford,Escape,—,black,SUV,471900,26,Jan,18150,38825,Above Market
2014,Chevrolet,Suburban,black,black,SUV,471700,12,Feb,39308.33,34088,Above Market
2013,Ford,Escape,black,black,suv,471201,29,Jun,16248.31,39847,Below Market
2013,Ford,F-150,red,gray,SuperCrew,470900,17,Feb,27700,24273,Above Market
2012,Infiniti,M,gray,black,Sedan,469950,18,Feb,26108.33,37485,Above Market
2012,Nissan,Maxima,black,black,Sedan,468950,26,May,18036.54,38300,Above Market
2012,Honda,Civic,blue,gray,Sedan,468800,38,Jan,12336.84,35234,Above Market
2013,Ford,Focus,white,black,Sedan,468301,41,Jan,11421.98,34031,Above Market
2011,Ford,F-150,black,black,SuperCrew,468100,19,Feb,24636.84,61159,Below Market
2012,Honda,Pilot,gray,gray,SUV,467750,21,Jan,22273.81,38416,Above Market
2013,Ford,Edge,white,black,SUV,467500,20,Feb,23375,33947,Above Market
2013,Toyota,Corolla,silver,gray,Sedan,467201,43,Feb,10865.14,42951,Below Market
2012,Honda,Odyssey,gray,gray,Minivan,467100,21,Dec,22242.86,35625,Above Market
2013,Mercedes-Benz,E-Class,gray,black,Sedan,467000,16,Feb,29187.5,29136,Below Market
2014,Toyota,Camry,gray,gray,Sedan,466900,29,Jan,16100,13980,Above Market
2013,Nissan,Altima,white,black,Sedan,465650,34,May,13695.59,37532,Above Market
2012,Honda,Odyssey,silver,gray,Minivan,465600,23,Jan,20243.48,35823,Above Market
2011,BMW,3 Series,white,black,Sedan,465250,23,Jan,20228.26,44464,Above Market
2014,Ford,F-150,silver,gray,SuperCrew,464950,17,Feb,27350,17982,Below Market
