YEAR,MAKE,MODEL,COLOR,INTERIOR,BODY,TOTAL_REVENUE,UNITS_SOLD,MONTH_SALE,AVG_PRICE,AVG_MILEAGE,MARKET_POSITION
2013,Ford,Fusion,gray,black,Sedan,792700,48,Feb,16514.58,30539,Above Market
2015,Chevrolet,Tahoe,black,black,SUV,790650,17,Jan,46508.82,16016,Below Market
2012,Nissan,Maxima,black,black,sedan,790050,44,Jun,17955.68,40087,Above Market
2014,Chevrolet,Cruze,silver,black,Sedan,788900,63,Feb,12522.22,28299,Below Market
2012,Honda,Odyssey,silver,gray,Minivan,788450,39,Feb,20216.67,37040,Above Market
2012,Honda,Civic,black,gray,Sedan,785700,64,Feb,12276.56,35624,Above Market
2014,Chrysler,Town and Country,gold,black,Minivan,785100,43,Jan,18258.14,23605,Below Market
2013,Hyundai,Elantra,gray,gray,sedan,784101,68,Jun,11530.9,30873,Above Market
2013,Hyundai,Sonata,blue,gray,Sedan,781300,64,Feb,12207.81,35129,Below Market
2012,Infiniti,M,black,black,Sedan,781050,33,Feb,23668.18,37997,Below Market
2012,Nissan,Rogue,black,black,SUV,778300,50,May,15566,36660,Above Market
2013,Ford,Fusion,black,black,sedan,776600,53,Jun,14652.83,35560,Above Market
2014,Chevrolet,Suburban,black,black,SUV,775950,20,Feb,38797.5,37974,Below Market
2012,Acura,TSX,black,black,Sedan,774700,47,Jan,16482.98,33150,Below Market
2012,Nissan,Altima,white,beige,Sedan,773350,56,Jan,13809.82,33312,Above Market
2014,Ford,E-Series Van,white,gray,E-Series Van,771000,36,Dec,21416.67,9411,Above Market
2013,Mercedes-Benz,S-Class,black,black,Sedan,769550,16,Feb,48096.88,24186,Below Market
2014,Dodge,Grand Caravan,black,black,Minivan,768800,43,Jan,17879.07,31614,Above Market
2013,Nissan,Altima,silver,black,sedan,767802,60,Jun,12796.7,44035,Above Market
2013,Hyundai,Elantra,silver,gray,Sedan,767650,73,Feb,10515.75,37695,Below Market
2012,Ford,Escape,black,black,SUV,766250,47,Jan,16303.19,42134,Above Market
2014,Ford,F-150,white,gray,Regular Cab,764000,41,Mar,18634.15,9256,Above Market
2014,Infiniti,Q50,red,black,Sedan,762700,29,Feb,26300,14895,Below Market
2013,Ford,F-150,white,black,SuperCrew,761350,22,Feb,34606.82,26851,Above Market
2012,,,black,black,,759051,38,Feb,19975.03,56540,Below Market
2013,Dodge,Grand Caravan,white,black,Minivan,754400,64,Feb,11787.5,56253,Below Market
2013,Mercedes-Benz,S-Class,black,black,Sedan,753700,14,Jan,53835.71,23063,Above Market
2013,Ford,Fusion,silver,black,Sedan,753500,54,Jan,13953.7,32201,Below Market
2012,Ford,F-150,black,black,SuperCrew,753300,25,Feb,30132,44235,Below Market
2014,Chevrolet,Cruze,black,black,Sedan,753000,55,Feb,13690.91,23028,Above Market
2014,Toyota,Camry,black,black,Sedan,752100,46,Dec,16350,14558,Below Market
2013,Mercedes-Benz,S-Class,black,black,Sedan,751550,14,Feb,53682.14,21493,Above Market
2013,Infiniti,G Sedan,gray,black,G Sedan,748050,37,May,20217.57,20153,Below Market
2014,Ford,Taurus,—,black,Sedan,746900,35,Jan,21340,21324,Above Market
2013,Nissan,Altima,silver,black,sedan,746000,67,Jun,11134.33,46592,Below Market
2014,Dodge,Grand Caravan,blue,black,Minivan,745100,42,Feb,17740.48,23594,Above Market
2014,Chrysler,Town and Country,black,black,Minivan,744100,35,Jan,21260,24249,Above Market
2012,Honda,Civic,black,gray,Sedan,743100,70,Jan,10615.71,34923,Below Market
2012,Infiniti,G Sedan,gray,black,G Sedan,741950,36,Jan,20609.72,32178,Above Market
2014,Jeep,Grand Cherokee,black,black,SUV,741450,23,Jan,32236.96,20983,Below Market
2014,Ford,F-150,—,gray,SuperCrew,739050,29,Feb,25484.48,19713,Below Market
2014,Toyota,Camry,gray,gray,Sedan,738700,50,Jan,14774,16541,Below Market
2013,Nissan,Altima,white,black,sedan,734500,63,Jun,11658.73,43011,Below Market
2012,Ford,Fusion,black,black,Sedan,733301,59,Feb,12428.83,43223,Above Market
2013,Ford,Edge,black,black,suv,732001,38,Jun,19263.18,44126,Below Market
2012,BMW,5 Series,black,black,Sedan,731950,23,Jan,31823.91,38499,Above Market
2013,Nissan,Altima,—,black,Sedan,731750,57,Feb,12837.72,33212,Below Market
2012,Mercedes-Benz,C-Class,black,black,Sedan,730650,36,Jan,20295.83,32196,Below Market
2013,Infiniti,G Coupe,black,black,G Coupe,730400,30,Jan,24346.67,21593,Below Market
2012,Nissan,Maxima,white,black,Sedan,728950,46,Feb,15846.74,34853,Below Market
2013,Ford,Explorer,white,black,SUV,728650,27,Feb,26987.04,39875,Above Market
2011,Infiniti,G Sedan,gray,gray,G Sedan,728350,41,Jan,17764.63,33891,Below Market
2012,Nissan,Altima,black,gray,Sedan,727550,68,Jan,10699.26,40558,Below Market
2012,Ford,Fusion,—,black,Sedan,726800,59,Feb,12318.64,48817,Above Market
2014,Dodge,Durango,black,black,SUV,726500,22,Jan,33022.73,20383,Above Market
2013,Ford,Explorer,—,black,SUV,725600,26,Feb,27907.69,29326,Above Market
2014,Ford,Mustang,black,black,Coupe,725501,31,Feb,23403.26,18237,Above Market
2013,Infiniti,G Sedan,black,black,G Sedan,725150,35,Mar,20718.57,22943,Below Market
2013,Audi,A4,silver,black,Sedan,724800,30,Feb,24160,29273,Above Market
2012,Nissan,Altima,blue,black,Sedan,722450,56,Jan,12900.89,38286,Above Market
2012,Infiniti,G Sedan,white,black,g sedan,722100,37,Jun,19516.22,33801,Above Market
2015,Chevrolet,Tahoe,black,black,suv,720900,15,Jun,48060,21542,Below Market
2012,Toyota,Camry,black,black,Sedan,720900,47,Feb,15338.3,34265,Above Market
2013,Ford,Escape,silver,black,SUV,716751,42,Feb,17065.5,48559,Above Market
2013,Chevrolet,Equinox,silver,black,SUV,715902,43,Feb,16648.88,50102,Above Market
2012,BMW,5 Series,gray,black,Sedan,713850,24,Jan,29743.75,38100,Below Market
2013,Ford,Fusion,silver,black,Sedan,712601,45,Jan,15835.58,29675,Above Market
2014,Kia,Optima,gray,gray,Sedan,712600,48,Feb,14845.83,17567,Below Market
2014,Ford,Escape,—,gray,SUV,712400,39,Feb,18266.67,25150,Above Market
2012,Nissan,Rogue,gray,black,SUV,709750,54,May,13143.52,36851,Below Market
